SWIFT CODE;NAME;ADDRESS
BREXPLPWOPO;MBANK S.A. (FORMERLY BRE BANK S.A.);KSIAZAT OPOLSKICH 29  OPOLE, OPOLSKIE, 45-005
BREXPLPWPOZ;MBANK S.A. (FORMERLY BRE BANK S.A.);ROOSEVELTA 22  POZNAN, WIELKOPOLSKIE, 60-829
BREXPLPWRCO;MBANK S.A. (FORMERLY BRE BANK S.A.);POWSTANCOW 43  KATOWICE, SLASKIE, 40-024
BREXPLPWRYB;MBANK S.A. (FORMERLY BRE BANK S.A.);RUDZKA 3  RYBNIK, RYBNIK, 44-200
BREXPLPWRZE;MBANK S.A. (FORMERLY BRE BANK S.A.);SOKOLA 6  RZESZOW, PODKARPACKIE, 35-010
BREXPLPWSZC;MBANK S.A. (FORMERLY BRE BANK S.A.);ZBOZOWA 4  - SZCZECIN ZACHODNIO-POMORSKIE, 70-653 
BREXPLPWTOR;MBANK S.A. (FORMERLY BRE BANK S.A.);BYDGOSKA 1  TORUN, KUJAWSKO-POMORSKIE, 87-100
BREXPLPWWA1;MBANK S.A. (FORMERLY BRE BANK S.A.);UL. SENATORSKA 18  WARSZAWA, MAZOWIECKIE, 00-950
BREXPLPWWA2;MBANK S.A. (FORMERLY BRE BANK S.A.);UL. DOMANIEWSKA 44  WARSZAWA, MAZOWIECKIE, 02-672
BREXPLPWWA3;MBANK S.A. (FORMERLY BRE BANK S.A.);OSTROBRAMSKA 207  WARSZAWA, MAZOWIECKIE, 04-077
BREXPLPWWA4;MBANK S.A. (FORMERLY BRE BANK S.A.);AL.JEROZOLIMSKIE 174  WARSZAWA, MAZOWIECKIE, 02-486
BREXPLPWWAL;MBANK S.A. (FORMERLY BRE BANK S.A.);SIENKIEWICZA 2  WALBRZYCH, DOLNOSLASKIE, 58-300
BREXPLPWWRO;MBANK S.A. (FORMERLY BRE BANK S.A.);PL. JANA PAWLA II 9  WROCLAW, DOLNOSLASKIE, 50-136
BREXPLPWXXX;MBANK S.A. (FORMERLY BRE BANK S.A.);UL. PROSTA 18  WARSZAWA, MAZOWIECKIE, 00-850
BREXPLPWZIE;MBANK S.A. (FORMERLY BRE BANK S.A.);PLAC JANA MATEJKI 19  ZIELONA GORA, WIELKOPOLSKIE, 65-056
BROUUYMMXXX;BANCO DE LA REPUBLICA ORIENTAL DEL URUGUAY;CERRITO, ZABALA STREET 351  MONTEVIDEO, MONTEVIDEO, 11000
BSBAPLP1XXX;BANK SPOLDZIELCZY W BIALYMSTOKU;ZAMENHOFA 4  BIALYSTOK, PODLASKIE, 15-435
BSBGBGSFIOP;BORICA AD;  SOFIA, SOFIA
BSBGBGSFXXX;BORICA AD;TZAR BORIS III BLVD 41  SOFIA, SOFIA, 1612
BSBIPLP1XXX;BANK SPOLDZIELCZY W BIALOBRZEGACH;SZKOLNA 6  BIALOBRZEGI, MAZOWIECKIE, 26-800
BSCHCLR10R2;BANCO SANTANDER CHILE;  
BSCHCLR10R3;BANCO SANTANDER CHILE;21 DE MAYO 300  ARICA, PROVINCIA DE ARICA, 1000000
BSCHCLR10R4;BANCO SANTANDER CHILE;  
BSCHCLR10R5;BANCO SANTANDER CHILE;  
BSCHCLR10R6;BANCO SANTANDER CHILE;  
BSCHCLR10R7;BANCO SANTANDER CHILE;  
BSCHCLR10RA;BANCO SANTANDER CHILE;  
BSCHCLR10RB;BANCO SANTANDER CHILE;  
BSCHCLR10RD;BANCO SANTANDER CHILE;  
BSCHCLR10RE;BANCO SANTANDER CHILE;  
BSCHCLR10RF;BANCO SANTANDER CHILE;  
BSCHCLR10RG;BANCO SANTANDER CHILE;SUR 4 ORIENTE 1, 1098  TALCA, PROVINCIA DE TALCA, 3460000
BSCHCLR10RH;BANCO SANTANDER CHILE;  
BSCHCLR10RJ;BANCO SANTANDER CHILE;  
BSCHCLR10RK;BANCO SANTANDER CHILE;  
BSCHCLR10RL;BANCO SANTANDER CHILE;  
BSCHCLRMGST;BANCO SANTANDER CHILE;  
BSCHCLRMXXX;BANCO SANTANDER CHILE;  
BSCHUYMMXXX;BANCO SANTANDER;JULIO HERRERA Y OBES 1365  MONTEVIDEO, MONTEVIDEO, 11100
BSCLCLRMXXX;BANCO SECURITY;  
BSEMUYM1XXX;BANCO DE SEGUROS DEL ESTADO;MERCEDES 1051  MONTEVIDEO, MONTEVIDEO, 11100
BSGJPLP1XXX;BANK SPOLDZIELCZY W GROJCU;JATKOWA 3  GROJEC, MAZOWIECKIE, 05-600
BSGLPLP1XXX;BANK SPOLDZIELCZY W GLOWNIE;UL.MLYNARSKA 5/13  GLOWNO, POWIAT ZGIERSKI, 95-015
BSGOPLP1XXX;BANK SPOLDZIELCZY W GOWOROWIE;UL.KOSCIELNA 1  GOWOROWO, POWIAT OSTROLECKI, 07-440
BSGRPLP1XXX;BANK SPOLDZIELCZY W GRUDUSKU;PL.GRUNWALDU 4 A  GRUDUSK, MAZOWIECKIE, 06-460
BSKRPLP1XXX;BANK SPOLDZIELCZY W KROSNIEWICACH;UL.TORUNSKA 5  KROSNIEWICE, LODZKIE, 99-340
BSLCPLP1XXX;BANK SPOLDZIELCZY W LESZNOWOLI;UL.SLONECZNA 223  - LESZNOWOLA POWIAT PIASECZYNSKI, 05-506 
BSLPPLP1XXX;BANK SPOLDZIELCZY W LAPACH;UL.GEN.WL.SIKORSKIEGO 80  LAPY, PODLASKIE, 18-100
BSMLPLP1XXX;BANK SPOLDZIELCZY W MLAWIE;UL.SADOWA 3  MLAWA, MAZOWIECKIE, 06-500
BSPIPLP1XXX;BANK SPOLDZIELCZY W PIONKACH;PLAC KONSTYTUCJI MAJA 3, 4  PIONKI, MAZOWIECKIE, 26-670
